hyp_id,version,source_project,source_commit_or_doc,mechanism,information_set,instrument_session,event_definition,direction,management_and_costs,parameters_and_neighbors,raw_events,effective_events,unique_days,first_binding_failure,additional_failures,disposition,fingerprint_class
OFH14,v1-prospective,OFFVG,docs/OFFVG_FINDINGS.md + docs/PROSPECTIVE_REGISTRY.md,FVG mitigation variant with alternate flow-failure gate,1m FVG zones + delta failure flags,MNQ RTH,FVG retest variant,continuation with structure,frozen management / 0.87pt RT,frozen; neighbors in OFFVG ledger,see docs/OFFVG_FINDINGS.md,see docs/OFFVG_FINDINGS.md,see docs/OFFVG_FINDINGS.md,none (q=0.061 exploratory pass; prospective arm frozen),derivative mining prohibited while prospective runs,PASSED_HISTORICAL_EXPLORATORY,FVG_FLOW_MITIGATION
FVG-UNCOND,v1,OFFVG,docs/OFFVG_FINDINGS.md,unconditional FVG mitigation (no flow gate),1m FVG zones price-only,MNQ RTH,any FVG retest,continuation,same frozen management / 0.87pt RT,none,see docs/OFFVG_FINDINGS.md,see docs/OFFVG_FINDINGS.md,see docs/OFFVG_FINDINGS.md,negative expectancy (-4.25/trade),,DEAD_FROZEN,PATTERN_GEOMETRY
OFN1-N12,v1,OF-NEW,docs/OFN_FINDINGS.md,twelve secondary order-flow constructions (sweep delta-flip N8; vol-per-tick exhaustion N9; others),1m bar-aggregate flow fields,MNQ RTH,per-hypothesis triggers in doc,mixed,ATR stop / time exit / 0.87pt RT,per-hypothesis neighbors in doc,see docs/OFN_FINDINGS.md,see docs/OFN_FINDINGS.md,see docs/OFN_FINDINGS.md,all failed or inconclusive (N3/N6 inconclusive-insufficient),N8/N9 explicitly negative,DEAD_FROZEN,OF_EFFORT_RESULT
OF-SUBMIN,v1,OF-SUB,docs/OFSUB_FINDINGS.md,sub-minute execution refinement of OF entries,30s OHLCV (morning window) + 1m flow,MNQ RTH morning,parent OF entries re-timed at 30s,per-parent,frozen management / 0.87pt RT,delay/offset neighbors,see docs/OFSUB_FINDINGS.md,see docs/OFSUB_FINDINGS.md,see docs/OFSUB_FINDINGS.md,no material improvement; parent edges absent,,DEAD_FROZEN,EXECUTION_REFINEMENT
OF-GRADING,v1,OF-GRADING,docs/OF_GRADING_FINDINGS.md,trade-quality grading of OF entries by flow context,1m flow context features,MNQ RTH,grade filters on existing entries,filter,frozen management / 0.87pt RT,grade threshold neighbors,see docs/OF_GRADING_FINDINGS.md,see docs/OF_GRADING_FINDINGS.md,see docs/OF_GRADING_FINDINGS.md,no stable grade separation,,DEAD_FROZEN,OF_CONTEXT_FILTER
OF-TARGETS,v1,OF-TARGETS,docs/OF_TARGETS_FINDINGS.md,flow/structure-derived profit targets,1m flow + structure levels,MNQ RTH,target selection per entry,management,frozen entries / 0.87pt RT,target family neighbors,see docs/OF_TARGETS_FINDINGS.md,see docs/OF_TARGETS_FINDINGS.md,see docs/OF_TARGETS_FINDINGS.md,no target family beat frozen baseline,,DEAD_FROZEN,MANAGEMENT_VARIANT
XMARKET-H1-H8,v1,XMARKET-V1,docs/XMARKET_V1_FINDINGS.md,eight ES->NQ / NQ->ES 1m cross-market price mechanisms (confirmed breakout; refusal; catch-up both directions; relative strength; acceptance agreement),synchronized ES+NQ 1m OHLCV (42 ES days),MNQ RTH,per-hypothesis triggers in doc,mixed,frozen management / 0.87pt RT,per-hypothesis neighbors,see docs/XMARKET_V1_FINDINGS.md,see docs/XMARKET_V1_FINDINGS.md,42 ES days max,0/8 - no material incremental ES information at 1m (H8 VOID spec error),ES span 42 days limits power; span itself INSUFFICIENT,DEAD_FROZEN,CROSS_MARKET_PRICE_LEADLAG_1M
OFH13-MEMORY,v1,OFH13-MEMORY-V1,commit 234f763,MEMORY state interaction with OFH13 outcomes,MEMORY-PRED state + RVMR state at entry,MNQ RTH,OFH13 entries partitioned by memory alignment,filter,frozen OFH13 management,none (counts-only feasibility),133 parents,ALIGNED n=10,see docs/OFH13_MEMORY_V1_FEASIBILITY.md,ALIGNED n=10 < frozen floor 20,window contamination documented,INSUFFICIENT_DATA,OF_CONTEXT_FILTER
OFH13-POSTENTRY-F1-F6,v1,OFH13-POSTENTRY-V1,commit 70a0efc,post-entry state at T5/T15 predicting right-tail development,frozen OFH13 trades + 1m path features,MNQ RTH,six feature families at T5/T15 checkpoints,diagnostic,no management rule ever authorized,frozen families F1-F6,see docs/OFH13_POSTENTRY_V1_FINDINGS.md,see docs/OFH13_POSTENTRY_V1_FINDINGS.md,see docs/OFH13_POSTENTRY_V1_FINDINGS.md,0/22 - no residual information beyond early MFE/MAE (5% retention),,DEAD_FROZEN,POSTENTRY_STATE
MEMIFVG-A1-A8,v1,MEMORY-MATH-IFVG-V1,commit c705f8b,eight mathematical memory/anchor anomaly cells,1m price memory/anchor features,MNQ full session,per-cell definitions in prereg 313127d2,mixed,cost 0.87pt RT where translated,frozen cells,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,2218,0/8 significant-and-material (A4 real but sub-material; A2/A5/A8 significant wrong-direction),D5 scoring defect corrected and disclosed,DEAD_FROZEN,SESSION_ANCHOR_DISPLACEMENT
MEMIFVG-B1-B6,v1,MEMORY-MATH-IFVG-V1,commit c705f8b,six inverted-FVG mechanism cells,1m FVG inversion events,MNQ full session,FVG inversion per prereg,mixed,cost 0.87pt RT where translated,frozen cells,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,0/6 (B2 gap-inversion significant OPPOSITE),,DEAD_FROZEN,PATTERN_GEOMETRY
MEMIFVG-S1-S4,v1,MEMORY-MATH-IFVG-V1,commit c705f8b,four strategy translations of lane A/B cells,1m features,MNQ full session,per prereg,mixed,frozen management / 0.87pt RT,frozen,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,see docs/MEMORY_MATH_IFVG_V1_FINDINGS.md,0/4 after costs,,DEAD_FROZEN,SESSION_ANCHOR_DISPLACEMENT
LPCC,v1,LPCC-V1,commit be1fff6,late-premarket conditional continuation from VR30=1.32 cell,1m price (S4 late premarket),MNQ premarket->open,late-PM move continuation into open,continuation,frozen stop/exit per LPCC_V1_CONFIG / stressed 1.740,frozen single cell,see analysis/lpcc/LPCC_V1_RESULTS.md,see analysis/lpcc/LPCC_V1_RESULTS.md,see analysis/lpcc/LPCC_V1_RESULTS.md,permutation p=0.5160 (familywise 0.0166667); gross negative,regime gate inert,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
CCHC,v1,CCHC-V1,commit 963009d,closing-half-hour conditional continuation (S9 VR30=1.27 cell),1m price (close window),MNQ RTH close,afternoon-trend continuation into close,continuation,frozen stop/exit per CCHC_V1_CONFIG / stressed 1.305,frozen single cell,98,98,98,n=98 < 100 floor; permutation p=0.0243 > 0.0166667,2020+2022 = 100.9% of net; matched control = 71% of primary,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
ODMC,v1,ODMC-V1,commit 9fec078,opening-drive momentum continuation (S5 VR10=1.08 cell),1m price (first 10 min),MNQ RTH open,5m impulse -> 5m continuation,continuation,frozen per ODMC_V1_CONFIG / stress 2.00,frozen single cell,see analysis/odmc/ODMC_V1_RESULTS.md,see analysis/odmc/ODMC_V1_RESULTS.md,see analysis/odmc/ODMC_V1_RESULTS.md,gross PF 1.272 < 1.30; permutation p=0.5891,D10 volatility residualization ~0; D4 sign-destruction p=0.127,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
THREE-ARM-FAMILY,v1,LPCC+CCHC+ODMC,commit 9fec078,VR-cell super-diffusion harvested as conditional drift,1m price,MNQ three windows,three arms above,continuation,frozen,familywise 0.05/3,3 arms,3 arms,-,0/3 arms; family CLOSED,VR super-diffusion = path roughness not harvestable drift,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
MGSD-F01-F19,v1.0.1,MGSD-V1,commit bb6986b,nineteen economically distinct price-only families (momentum reversion gap breakout transition etc.) x 244 strategy variants,1m OHLCV full session 7.1y,MNQ all 9 strata,per MGSD_V1_PROTOCOL_FREEZE.md,mixed,race engine / base 0.87 stressed 1.305/1.740,244 variants over 458 formal tests,244 variants,see analysis/mgsd/MGSD_V1_DEV_RESULTS.md,2218,0/244 full-gate (212 first-fail G04 quality; 32 G01),fading-strength significantly harmful; F09 gap-fade near-miss,DEAD_FROZEN,PRICE_ONLY_FAMILY_SEARCH
MGSD-ANOM-SCREEN,v1,MGSD-V1,commit bb6986b,162 anomaly screen cells,1m OHLCV,MNQ all strata,per protocol,descriptive,n/a,162 cells,162,-,2218,2 BH-significant but immaterial,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
MGSD-PM-OPEN,v1,MGSD-V1,commit bb6986b,premarket->open influence study (32 tests price-only),1m OHLCV,MNQ premarket+open,per protocol,descriptive,n/a,32 tests,32,-,2218,0 at BH q<=0.05 (clean null with leak-control validation),,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
MGSD-30S-ARM,v1,MGSD-V1,commit bb6986b,genuine 30s morning-window arm (20 variants),30s OHLCV 192 days morning window,MNQ RTH morning,per protocol,mixed,race engine / frozen costs,20 variants,20,best n=28,192,best cell n=28 fails floors,coverage window 09:30-11:00 only,DEAD_FROZEN,PRICE_ONLY_FAMILY_SEARCH
MGSD-SESSION-TRANS,v1,MGSD-V1,commit bb6986b,session-transition price-only tests,1m OHLCV,MNQ transitions,per protocol,mixed,frozen,see analysis/mgsd/MGSD_V1_SESSION_TRANSITION_RESULTS.md,-,-,2218,no candidate,,DEAD_FROZEN,PRICE_ONLY_FAMILY_SEARCH
WAVE4-VR-CELLS,v1,WAVE-4,commit eac54fe,variance-ratio super-diffusion map by stratum,1m OHLCV,MNQ all strata,per-day non-overlapping q-sums,descriptive,n/a,q in {10;30} per stratum,3 BH survivors,-,2218,descriptive map; strategy translations failed in three arms,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
WAVE4-ANCHOR-FIELD,v1,WAVE-4,commit eac54fe,anchor-displacement field,1m OHLCV,MNQ full session,anchor displacement quantiles,descriptive,n/a,frozen,-,-,2218,per-year sign flips - regime descriptor only,,DESCRIPTIVE_ONLY_SPENT,SESSION_ANCHOR_DISPLACEMENT
RVMR-BATTERY,v1,RVMR-V1,docs/RVMR_V1_SPEC.md + findings,15-test relative-value mean-reversion regime battery,1m OHLCV,MNQ full session,regime state definitions,descriptive,n/a,frozen battery,15 tests,-,2218,descriptive regime map; no strategy claim,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
RVMR-STRAT,v1,RVMR-STRAT-V1,docs/RVMR_STRAT_V1_FINDINGS.md,RVMR regime-conditioned strategies,1m OHLCV + RVMR state,MNQ RTH,per prereg,mixed,frozen / 0.87pt RT,per prereg,see docs/RVMR_STRAT_V1_FINDINGS.md,-,-,failed gates,,DEAD_FROZEN,PRICE_MEANREV_INTRADAY
RVMR-MOMENTUM,v1,RVMR-MOMENTUM-V1,docs/RVMR_MOMENTUM_V1_FINDINGS.md,RVMR momentum-side strategies,1m OHLCV + RVMR state,MNQ RTH,per prereg,continuation,frozen / 0.87pt RT,per prereg,see docs/RVMR_MOMENTUM_V1_FINDINGS.md,-,-,failed gates,,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
RVMR-BANDS,v1,RVMR-BANDS-V1,docs/RVMR_BANDS_V1_FINDINGS.md,RVMR band strategies,1m OHLCV,MNQ RTH,per prereg,reversion,frozen / 0.87pt RT,per prereg,see docs/RVMR_BANDS_V1_FINDINGS.md,-,-,failed gates,,DEAD_FROZEN,PRICE_MEANREV_INTRADAY
RVMR-AVOID,v1,RVMR-AVOID-V1,docs/RVMR_AVOID_V1_FINDINGS.md,RVMR avoid-state filters,1m OHLCV,MNQ RTH,per prereg,filter,frozen,per prereg,see docs/RVMR_AVOID_V1_FINDINGS.md,-,-,no material filter value,,DEAD_FROZEN,OF_CONTEXT_FILTER
RVMR-VALIDATION,v1,RVMR-VALIDATION-V1,docs/RVMR_VALIDATION_V1_FINDINGS.md,RVMR state validation battery,1m OHLCV,MNQ full session,per prereg,descriptive,n/a,per prereg,see docs/RVMR_VALIDATION_V1_FINDINGS.md,-,-,descriptive only,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
MEMORY-PRED-HIST,v1,MEMORY-PRED-V1,docs/MEMORY_PRED_V1_FINDINGS.md,price-memory prediction historical arm,1m OHLCV memory features,MNQ full session,per prereg,mixed,frozen,per prereg,see docs/MEMORY_PRED_V1_FINDINGS.md,-,2218,no deployable historical edge (memory ~1/4 anchor),,DEAD_FROZEN,SESSION_ANCHOR_DISPLACEMENT
MEMORY-PRED-PROSP,v1,MEMORY-PRED-V1,docs/PROSPECTIVE_REGISTRY.md,memory prospective Lane A (start 2026-08-26),future 1m data,MNQ,frozen,-,frozen,frozen,0 so far,0,0,not yet scoreable (future data),,RESERVED_UNTOUCHED,SESSION_ANCHOR_DISPLACEMENT
V5-BATTERY,v1,V5,docs/V5_FINDINGS.md,P1 calendar/clock P2 path/exit-geometry P3 order-flow-primary conjunction search,1m OHLCV + 1m flow capture,MNQ RTH,per V5 prereg,mixed,frozen / 0.87pt RT,per V5 ledger,see docs/V5_FINDINGS.md,-,-,FINAL DECISION D - no robust edge survived,,DEAD_FROZEN,PRICE_ONLY_FAMILY_SEARCH
V4-LINEAGE,v4/v4.1/v4.2/v4.2B,V4-V42B,docs/V41_FINDINGS.md + V42/V42B findings,vector/structure geometric entries (break pullback attack-failure),1m OHLCV + structure capture,MNQ RTH,per prereg per version,mixed,race stops / 0.87pt RT,per version ledgers,see docs/V41_FINDINGS.md,-,-,no confirmed edge on full capture,V42 n=27 insufficient; V42B failed internal replication,DEAD_FROZEN,PATTERN_GEOMETRY
VECH1,v1,VEC-H1,docs/VECH1_FINDINGS.md,vector-event continuation hypothesis,1m structure capture,MNQ RTH,per prereg,continuation,frozen / 0.87pt RT,frozen,see docs/VECH1_FINDINGS.md,-,-,failed confirmatory verdict,,DEAD_FROZEN,PATTERN_GEOMETRY
GEN10,v1+OOS,GEN10,docs/GEN10_FINDINGS.md + GEN10_OOS,ten generic entry generators,1m OHLCV,MNQ RTH,per doc,mixed,frozen / 0.87pt RT,10 generators,see docs/GEN10_FINDINGS.md,-,-,no generator survived OOS,,DEAD_FROZEN,PRICE_ONLY_FAMILY_SEARCH
RED,v1,RED,docs/RED_FINDINGS.md,reduced-level reaction hypotheses,1m OHLCV + levels,MNQ RTH,level tests per prereg,mixed,frozen,per prereg,see docs/RED_FINDINGS.md,-,-,failed internal replication (favourable-first 43.8%->29.2%),,DEAD_FROZEN,PATTERN_GEOMETRY
MRV,v1,MRV,docs/MRV_FINDINGS.md,mean-reversion-after-failed-continuation,1m OHLCV,MNQ RTH,failed continuation events,fade,frozen,per prereg,see docs/MRV_FINDINGS.md,-,-,inverted: failed-continuation evidence made fades worse,,DEAD_FROZEN,PRICE_MEANREV_INTRADAY
MAG,v1,MAG,docs/MAG_FINDINGS.md + MAGNITUDE,magnitude/volatility regime feature,1m OHLCV,MNQ RTH,magnitude states,descriptive,n/a,per prereg,see docs/MAG_FINDINGS.md,-,-,regime feature only; no directional strategy,explains exit-experiment failures,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
BRK,v1,BRK,docs/BRK_FINDINGS.md,breakout cells,1m OHLCV,MNQ RTH,three breakout cells,continuation,frozen,3 cells,3 cells,-,-,all three cells failed,,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
PROOF,v1,PROOF,docs/PROOF_FINDINGS.md,bar-level order-flow edge existence proof battery,1m flow capture,MNQ RTH,battery per prereg,mixed,frozen,per prereg,see docs/PROOF_FINDINGS.md,-,-,no robust order-flow edge in bar-level data,,DEAD_FROZEN,OF_EFFORT_RESULT
NQDIR,v1,NQ-DIRECTION-V1,docs/NQ_DIRECTION_V1_FINDINGS.md,daily/weekly direction forecast battery,1m+daily OHLCV,MNQ,per prereg,directional forecast,n/a,per prereg,see docs/NQ_DIRECTION_V1_FINDINGS.md,-,-,failed final verdict,,DEAD_FROZEN,PRICE_ONLY_MAP
DVT,v1,4H-DVT-V1,docs/4H_DVT_V1_FINDINGS.md,4-hour directional volatility timing,4h aggregates of 1m,MNQ,per prereg,mixed,frozen,per prereg,see docs/4H_DVT_V1_FINDINGS.md,-,-,failed final verdict,,DEAD_FROZEN,CALENDAR_TOD
TRH1-RR,v1,TR-H1,docs/TRH1_RR_FINDINGS.md,class-D management R:R pass,1m OHLCV,MNQ RTH,management variants,management,frozen entries,per doc,see docs/TRH1_RR_FINDINGS.md,-,-,no management improvement,,DEAD_FROZEN,MANAGEMENT_VARIANT
STOP-FAMILY,v1,STOP-FAMILY,docs/STOP_FAMILY_FINDINGS.md,stop-family comparison,1m OHLCV,MNQ RTH,stop variants,management,frozen entries,per doc,see docs/STOP_FAMILY_FINDINGS.md,-,-,no stop family rescued expectancy,,DEAD_FROZEN,MANAGEMENT_VARIANT
PROFIT-TAKING,v1,PROFIT-TAKING,docs/PROFIT_TAKING_FINDINGS.md,profit-taking rules,1m OHLCV,MNQ RTH,exit variants,management,frozen entries,per doc,see docs/PROFIT_TAKING_FINDINGS.md,-,-,no exit rule rescued expectancy,,DEAD_FROZEN,MANAGEMENT_VARIANT
ANOMALY-SCAN-V1,v1,ANOMALY-SCAN,docs/ANOMALY_SCAN_V1_FINDINGS.md,broad anomaly scan,1m OHLCV,MNQ,per protocol,descriptive,n/a,per protocol,see docs/ANOMALY_SCAN_V1_FINDINGS.md,-,-,reversion clock slower than frames tested,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
ANOMALY-CONFIRM-V1,v1,ANOMALY-CONFIRM,docs/ANOMALY_CONFIRM_V1_FINDINGS.md,shock-continuation confirmation,1m OHLCV,MNQ,shock events,continuation,frozen,per prereg,see docs/ANOMALY_CONFIRM_V1_FINDINGS.md,-,-,failed holdout (11/15),,DEAD_FROZEN,PRICE_CONTINUATION_INTRADAY
ANOMALY-CONFIRM-V2,v1,ANOMALY-CONFIRM,docs/ANOMALY_CONFIRM_V2_FINDINGS.md,ordinal V-turn + half-session-low,1m OHLCV,MNQ,per prereg,mixed,frozen,per prereg,see docs/ANOMALY_CONFIRM_V2_FINDINGS.md,-,-,H2 failed (8/14); H1 partial 13/14 never translated to passing strategy,,DEAD_FROZEN,PRICE_ONLY_MAP
HIGH-ARRIVAL,v1,HIGH-ARRIVAL-UTILITY-V1,docs/HIGH_ARRIVAL_UTILITY_V1_FINDINGS.md,state-arrival law utility,1m OHLCV states,MNQ,per prereg,forecast,n/a,per prereg,see docs/HIGH_ARRIVAL_UTILITY_V1_FINDINGS.md,-,-,HA6 binding gate failed - real but forecast-redundant,,DEAD_FROZEN,PRICE_ONLY_MAP
NSERIES,v1,NSERIES,docs/NSERIES_FINDINGS.md,N-series randomness comparison battery,1m OHLCV,MNQ,per doc,descriptive,n/a,per doc,see docs/NSERIES_FINDINGS.md,-,-,real data failed vs randomness-produced benchmark,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
PATTERN-SCAN,v1,PATTERN-SCAN,docs/PATTERN_SCAN_FINDINGS.md,bar-pattern scan,1m OHLCV,MNQ,pattern events,mixed,n/a,per doc,see docs/PATTERN_SCAN_FINDINGS.md,-,-,no robust pattern,,DEAD_FROZEN,PATTERN_GEOMETRY
OOS-AUG,v1,OOS-AUG,docs/OOS_AUG_FINDINGS.md,August OOS check of earlier candidates,1m OHLCV,MNQ,frozen candidates,mixed,frozen,frozen,see docs/OOS_AUG_FINDINGS.md,-,-,candidates did not confirm,,DEAD_FROZEN,PRICE_ONLY_FAMILY_SEARCH
OFH13-V2,v2,OFH13-V2,docs/OFH13_V2_FINDINGS.md,OFH13 variant refinements,1m flow + FVG,MNQ RTH,variant triggers,continuation,frozen,per doc,see docs/OFH13_V2_FINDINGS.md,-,-,variants failed; only frozen v1 stands,,DEAD_FROZEN,FVG_FLOW_MITIGATION
S30A-OBS,v1,MGSD-V1,commit bb6986b,30s morning observation S30A_n10_t1.0_s20_e30,30s OHLCV morning window,MNQ RTH morning,frozen cell,continuation,frozen,frozen cell,28,28,28,n=28 fails all floors,,INSUFFICIENT_DATA,PRICE_ONLY_FAMILY_SEARCH
HARU,v1,HARU,analysis/haru + scratchpad HARU_REPRO.txt,high-arrival regime utility reproduction,1m OHLCV,MNQ,per repro,descriptive,n/a,per repro,see analysis/haru,-,-,descriptive reproduction only,,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
VALIDATION-PARTITION,-,programme,frozen partitions,future validation data 2026-09-01..2027-02-28,-,-,-,-,-,-,0,0,0,never opened,,RESERVED_UNTOUCHED,-
OOS-PARTITION,-,programme,frozen partitions,future OOS 2027-03-01..2027-08-31,-,-,-,-,-,-,0,0,0,never opened,,RESERVED_UNTOUCHED,-
LOCKBOX-PARTITION,-,programme,frozen partitions,final lockbox 2027-09-01+,-,-,-,-,-,-,0,0,0,never opened,,RESERVED_UNTOUCHED,-
BUFFER-2026-08-18-31,-,programme,frozen partitions,unused buffer,-,-,-,-,-,-,0,0,0,prohibited as research data,,RESERVED_UNTOUCHED,-
